row_index,name,value_chain_position,semiconductor_relevance,capabilities,end_markets,india_angle,summary,technical_expertise,status,inferred_field_count,model
300,MAXVY Technologies Pvt Ltd,EDA/IP,High,Design IP | Verification IP | SoC Integration,Logic | Automotive,"Maxvy Technologies Pvt Ltd is based in India, providing design and verification IP services.","Maxvy Technologies Pvt Ltd specializes in providing design and verification IP for SoC designs, helping to accelerate chip development processes. They collaborate with major foundries like GlobalFoundries, SMIC, and TSMC, indicating a strong presence in the semiconductor design ecosystem.",SoC Design | Functional Verification | Digital and Mixed Signal IP,ok,0,gpt-4o
301,MayAir Singapore Pte. Ltd.,Facility & Infrastructure,Medium,Cleanroom filtration systems | HVAC air filters | HEPA filters,Manufacturing | Pharmaceutical,,"MayAir Singapore Pte. Ltd. specializes in providing air filtration systems and solutions, particularly for cleanroom environments. Their products are crucial for maintaining the controlled environments required in semiconductor manufacturing facilities.",Cleanroom architecture | Air filtration technology,ok,0,gpt-4o
302,MBit Wireless Pvt. Ltd,Design Services,High,Systems-on-Chip (SoCs) for mobile devices | Cellular IoT modem solutions | Custom ASIC design,IoT | Mobile Devices | Connectivity,MBit Wireless Pvt. Ltd is based in India and focuses on developing semiconductor solutions for global markets.,MBit Wireless Pvt. Ltd is a fabless semiconductor company specializing in the design and development of high-performance systems-on-chips (SoCs) and cellular IoT modem solutions. They collaborate with leading OEMs and Telcos to provide advanced connectivity solutions for mobile and IoT devices.,SoC design | Cellular IoT technology | 4G-LTE and NB-IoT modem technology,ok,0,gpt-4o
303,Mechmaark filters india pvt Ltd,Other,"None -- with a 1-liner reason only, how central is semiconductors to this company's business",,,"The company has a significant manufacturing presence in India with a plant located in Bahadurgarh, Haryana.","Mechmaark Filtech India Pvt. Ltd. is primarily an air filter manufacturing company based in India, focusing on industrial air and chemical filters. Their products are designed to meet international standards and serve various industries with high-quality air management solutions.",,ok,0,gpt-4o
304,MediaMac Pte Ltd,Equipment,High,Customizable semiconductor wet processing benches | Electroplating lines | Wet process automation,R&D | Industrial,,"MediaMac Pte Ltd specializes in the design, fabrication, and integration of customizable engineering plastic equipment for semiconductor wet processing and electroplating lines. They provide tailored solutions with a focus on process automation, chemical exhaust scrubbers, and wastewater treatment systems, serving the semiconductor, R&D, and industrial sectors.",Surface engineering design | Process automation,ok,0,gpt-4o
305,MEINHARDT EPCM (INDIA) PRIVATE LIMITED,Other,,,,,,,empty-input,0,gpt-4o
306,Mel Systems and Services Limited,Test & Measurement,Medium,custom functional testing ATEs | process and discrete automation | Industry 4.0 solutions,Electronics | Aerospace | Defence,MELSS is headquartered in Chennai and has a strong nationwide presence in India.,"MEL Systems and Services Limited provides engineering and technology solutions with a focus on electronics design, manufacturing, and testing. They offer custom functional testing ATEs and automation solutions, serving industries such as electronics, aerospace, and defense.",automation | functional testing | Industry 4.0,ok,0,gpt-4o
307,Membrane Group India Pvt Ltd,Other,"None -- the company primarily focuses on water and wastewater treatment solutions, which are not central to semiconductor manufacturing.",,,Membrane Group India Pvt Ltd is a leading manufacturer and distributor for water and wastewater treatment plants and components in India.,"Membrane Group India Pvt Ltd specializes in providing water and wastewater treatment solutions. Their expertise lies in improving water quality and recycling wastewater for various industries, municipalities, and institutions. They do not have a direct role in the semiconductor value chain.",,ok,0,gpt-4o
308,Membrane Solutions Corp.,Chemicals & Gases,Medium,PTFE membrane filters for semiconductor applications | High retention performance filtration products,Microelectronics,,"Membrane Solutions Corp. specializes in the development and production of microporous membrane filtration products, including PTFE filters designed for semiconductor applications. Their products are used to ensure high cleanliness and particle removal in chemical processes critical to semiconductor manufacturing.",Microporous membrane technology | PTFE filtration,ok,0,gpt-4o
309,"Merck Performance Materials Co., Ltd.",Materials,High,specialty gases | deposition materials | patterning and planarization chemistries,Logic | Memory | Advanced Computing,,"Merck Performance Materials Co., Ltd. is a key player in the semiconductor materials sector, providing a wide range of innovation-critical materials and integrated process solutions. Their offerings include specialty gases, deposition materials, and patterning chemistries, which are essential for semiconductor manufacturing. They focus on integrating materials science with digital tools to enhance yield and accelerate technology production.",materials science | integrated process solutions | metrology & inspection,ok,0,gpt-4o
310,Metkorp Equipments Pvt Ltd.,Equipment,Low,Metallurgical Laboratory Equipment | Micro Hardness Tester | Material Testing Equipment,Advanced Packaging,Metkorp Equipments Pvt Ltd. is based in Delhi and is a leading manufacturer of metallurgical equipment in India.,"Metkorp Equipments Pvt Ltd. specializes in manufacturing and supplying metallurgical and material testing equipment. Their products are used for examining material microstructures, which can be relevant in semiconductor packaging and testing processes.",Material Testing | Metallography,ok,0,gpt-4o
311,Mettler-Toledo India Pvt. Ltd,Other,,,,,,,empty-input,0,gpt-4o
312,Mi Equipment Pte. Ltd.,Other,,,,,,,empty-input,0,gpt-4o
313,Micro Engineering Inc.,Equipment,High,Manufacturing machines for semiconductors | Inspection/measurement machines | Cleaning machines,Semiconductors | LCDs | Biochips,,"Micro Engineering Inc. develops, manufactures, and sells equipment for manufacturing semiconductors, LCDs, and biochips. The company provides tailored production systems and supports technological innovation and productivity improvement in the semiconductor manufacturing process.",Grinding and polishing technology | Photo fabrication processes | Factory automation systems,ok,0,gpt-4o
314,Micro Epsilon India Private Limited,Test & Measurement,Medium,High-precision displacement sensors | Infrared temperature sensors | Dimensional measurement systems,Manufacturing automation | Machine building,,"Micro Epsilon India Private Limited specializes in providing high-precision sensors and measurement systems that are crucial for various industrial applications, including semiconductor manufacturing. Their products are used in research and development as well as manufacturing automation, offering solutions tailored to specific measurement tasks.",High-precision measurement technology | Infrared sensing technology,ok,0,gpt-4o
315,Micron Technology Operations India LLP,Other,,,,,,,empty-input,0,gpt-4o
316,Mihama India Pvt Ltd,Other,None,,,,,,ok,0,gpt-4o
317,Millice PTE LTD,Distribution,High,Distribution of process materials and equipment | Sales and after-sales service | Applications support for semiconductor technologies,FAB | Test | Failure Analysis,,"Millice PTE LTD is a distributor specializing in process materials and equipment for the semiconductor industry in the ASEAN region. They provide comprehensive sales, after-sales service, and applications support, covering semiconductor technologies from fabrication to testing and failure analysis.",Failure analysis tools | Semiconductor FAB support,ok,0,gpt-4o
318,Mindgrove Technologies,Design Services,High,High-performance SoCs | AI inferencing chips | Secure IoT solutions,IoT | Automotive | Consumer Electronics,Mindgrove is a fabless semiconductor design company with SoCs designed in India.,"Mindgrove Technologies is a fabless semiconductor design company specializing in high-performance System on Chips (SoCs) for various applications including IoT, AI, and automotive. They focus on creating efficient and reliable chips tailored to customer needs, with a strong emphasis on Indian-designed silicon.",System on Chips (SoCs) | AI inferencing | Signal processing,ok,0,gpt-4o
319,Mindox Techno Pte. Ltd.,Equipment,High,Front-end manufacturing equipment | Back-end manufacturing equipment | Advanced packaging equipment,Advanced Packaging | Logic | Memory,,"Mindox Techno Pte. Ltd. designs, develops, and supports advanced semiconductor manufacturing equipment for front-end, back-end, and advanced packaging processes. Their offerings cater to chip-making companies seeking next-generation solutions for various stages of semiconductor production.",Advanced semiconductor manufacturing equipment,ok,0,gpt-4o
320,Mirafra Software Technologies Pvt. Ltd.,Design Services,High,RTL Design | Design Verification | Physical Design,Automotive | CPU,"Mirafra Software Technologies Pvt. Ltd. is based in Bangalore, India, and provides semiconductor design services from this location.","Mirafra Software Technologies Pvt. Ltd. offers comprehensive design services in the semiconductor industry, including RTL design, design verification, and physical design. They support end-to-end SoC chip design and have a strong presence in the automotive and CPU markets.",Design for Testability (DFT) | Analog and Mixed Signal Verification | FPGA Design,ok,0,gpt-4o
321,Misumi India Private Limited,Other,,,,,,,empty-input,0,gpt-4o
322,Mitsui Chemicals India Pvt. Ltd.,Other,Low,,,,"Mitsui Chemicals India Pvt. Ltd. is part of the Mitsui Chemicals Group, a global leader in innovative material solutions across various sectors including Life, Mobility, ICT, and Green sectors. The company's role in the semiconductor value chain is not prominently highlighted in the available content.",,ok,0,gpt-4o
323,Mitutoyo South Asia Private Limited,Test & Measurement,Medium,Vision Measuring System QUICK VISION Pro | Coordinate Measuring Machine | Surface Roughness Measuring Instrument,Automotive | Consumer Electronics | Data Centers,"Mitutoyo South Asia Pvt. Ltd. was established in 1996 and is headquartered in New Delhi, serving as a regional headquarters for enhanced customer support in South Asia.","Mitutoyo South Asia Private Limited provides precision measuring equipment and solutions for various stages of semiconductor manufacturing, including both upstream and downstream processes. Their offerings include advanced vision measuring systems and coordinate measuring machines, which are crucial for ensuring quality and precision in semiconductor production.",3D non-contact measurement | Coordinate metrology | Surface roughness measurement,ok,0,gpt-4o
324,Modutek Corporation,Equipment,High,Wet process equipment | Chemical delivery systems | Precision parts cleaning systems,Semiconductor | Hard disk | Flat panel,,"Modutek Corporation is a leading manufacturer of wet process equipment and systems for the semiconductor industry. They offer a range of products including wet benches, chemical delivery systems, and precision cleaning systems, designed to enhance process efficiency and reliability. Their solutions are tailored to meet the specific needs of technology manufacturers, ensuring high-quality and consistent results.",Wet process technology | Chemical delivery systems | Precision cleaning technology,ok,0,gpt-4o
325,Morimura Brothers Trading India Pvt Ltd,Distribution,Low,Electronic Materials | Ceramics,Advanced Packaging,null,"Morimura Brothers Trading India Pvt Ltd is primarily involved in the distribution of various materials, including electronic materials and ceramics, which can be used in semiconductor manufacturing. Their role in the semiconductor value chain is mainly as a distributor, leveraging their global network and trading expertise.",null,ok,0,gpt-4o
326,Morphing Machines Private Limited,EDA/IP,High,REDEFINE runtime reconfigurable many-core processor architecture | MuDRA processor powered by REDEFINE,AI/ML | HPC | Data Centers,,"Morphing Machines Private Limited specializes in adaptive computing solutions, offering a runtime reconfigurable many-core processor architecture known as REDEFINE. Their technology is designed to optimize compute performance for AI/ML, HPC, and data center applications by dynamically scheduling resources and minimizing idle time.",runtime reconfigurable processor architecture | dynamic scheduling for compute optimization,ok,0,gpt-4o
327,MOSCHIP,Design Services,High,Turnkey ASIC design | Silicon design and IP services | Embedded software development,Automotive | Consumer Electronics | Telecommunications,"MosChip is headquartered in Hyderabad, India, and has a significant engineering presence with over 1500 engineers across India and the USA.","MosChip Technologies provides comprehensive design services in the semiconductor industry, specializing in turnkey ASIC development, silicon design, and embedded software. They support global enterprises in developing next-generation intelligent products across various industrial domains.",ASIC design | FPGA design | Mixed-signal IP design,ok,0,gpt-4o
328,MTU India Private Limited,Facility & Infrastructure,Medium,Battery-free Diesel Rotary UPS (DRUPS) | Continuous clean power solutions | High power density and scalable power infrastructure,Wafer fabrication plants | OSAT facilities | Electronics manufacturing,,"MTU India Private Limited provides critical power infrastructure solutions for semiconductor manufacturing facilities. Their mtu Kinetic PowerPack offers battery-free Diesel Rotary UPS systems that ensure continuous, high-quality power to maintain process stability and equipment availability in semiconductor fabs and advanced electronics manufacturing plants.",Uninterruptible power supply systems | Diesel power generation | Power infrastructure for semiconductor fabs,ok,0,gpt-4o
329,Multi Nano Sense Technologies Private Limited,Other,Medium,Hydrogen Sensors | Platform CMOS MEMS Omni-Gas Sensors,Automotive | Industrial,The company has received financial aid from the Indian government for the indigenous development of Hydrogen Sensing & Analysis Technology.,"Multi Nano Sense Technologies Private Limited specializes in developing and manufacturing advanced sensor technologies, including hydrogen and CMOS MEMS omni-gas sensors. They focus on collaboration to create innovative solutions for a smarter, safer, and healthier world.",Gas sensing technology | CMOS MEMS technology,ok,0,gpt-4o
330,MumbaiSemi,Other,None,,,,,,ok,0,gpt-4o
331,MyCAE India Pvt Ltd,Design Services,Medium,Thermal Analysis for Electronic Systems | Cleanroom Air Flow & Thermal Design | Vibration Control Engineering,Advanced Packaging | Facility & Infrastructure,,"MyCAE Technologies provides specialized engineering services including thermal analysis, cleanroom design, and vibration control for the semiconductor industry. Their expertise in computational fluid dynamics and finite element analysis supports semiconductor manufacturing and facility infrastructure projects.",Computational Fluid Dynamics (CFD) | Finite Element Analysis (FEA) | Vibration Monitoring & Assessment,ok,0,gpt-4o
332,Nagase India pvt ltd,Chemicals & Gases,Medium,Photoresist materials | Plating chemicals | Electronic materials,Automotive | Electronics,"Nagase India has been present in India for over 60 years, evolving from a liaison office to a private limited company, focusing on customer needs.","Nagase India Pvt Ltd is involved in the supply of specialty chemicals and materials relevant to the semiconductor industry, including photoresist materials and plating chemicals. They cater to various industries such as automotive and electronics, leveraging their global network and expertise in chemical solutions.",Photoresist technology | Plating chemical formulations,ok,0,gpt-4o
333,Nano Clean Technologies,Facility & Infrastructure,Medium,Turnkey Cleanrooms | Gas Distribution Systems | Tool Hookups,Logic | Memory | Advanced Packaging,"Nano Clean Technologies is based in Bengaluru, India, indicating a strong local presence and focus on the Indian market.","Nano Clean Technologies specializes in providing turnkey cleanroom solutions and gas distribution systems tailored for the semiconductor industry. Their offerings include the design and construction of advanced cleanrooms, high-purity gas systems, and tool hookups, supporting operational excellence in semiconductor manufacturing facilities.",Contamination control | High-purity gas systems | Cleanroom design,ok,0,gpt-4o
334,"Nanoscale Research Facility, IIT Delhi",Other,,,,,,,empty-input,0,gpt-4o
335,Nasscom,Other,,,,,,,empty-input,0,gpt-4o
336,National Institute of Technical Teachers Training and Research,Other,,,,,,,empty-input,0,gpt-4o
337,Navin Fluorine International Limited,Other,,,,,,,empty-input,0,gpt-4o
338,NeevSemi India Private limited,EDA/IP,High,AI-driven workflow design | Validation of semiconductor processes | Deployment of AI agents for semiconductor teams,Logic | Advanced Packaging,"NeevSemi India Private Limited is based in India, focusing on AI-driven solutions for the semiconductor industry.","NeevSemi India Private Limited specializes in providing AI-driven solutions to enhance the design, validation, and deployment processes within the semiconductor industry. Their closed-loop agents are designed to optimize workflows, making semiconductor operations faster and more efficient.",AI-driven semiconductor workflow optimization | Closed-loop agent systems,ok,0,gpt-4o
339,Netherlands Pavilion,Other,Medium,Advanced equipment | Materials and process technologies | Chip design and system integration,Logic | Automotive | Advanced Packaging,The Netherlands Pavilion aims to deepen the India–Netherlands partnership in the semiconductor sector through B2B matchmaking and collaboration opportunities.,"The Netherlands Pavilion at Semicon India 2026 represents a consortium of over twenty Dutch organizations covering the entire semiconductor value chain. They focus on advanced equipment, materials, process technologies, chip design, and system integration, aiming to foster innovation and resilient supply chains.",Process technologies | System integration | R&D and talent development,ok,0,gpt-4o
340,Netrasemi Private Limited,Design Services,High,Edge AI System-on-Chips | Real-time on-device AI computing,Automotive | Robotics | Surveillance,,"Netrasemi Private Limited specializes in designing high-performance Edge AI System-on-Chips (SoCs) that enable real-time, on-device AI computing. Their products are used in applications such as surveillance, drones, robotics, and automotive vision, focusing on accelerating edge AI innovation.",Edge AI computing | System-on-Chip design,ok,0,gpt-4o
341,NETWEB TECHNOLOGIES INDIA LIMITED,Other,Medium,High-Performance Computing systems | AI/ML and Deep Learning solutions | Cloud and Virtualization solutions,AI | Cloud Computing | High-Performance Computing,Netweb Technologies is one of India's largest supercomputing systems manufacturers with over 500 installations.,"Netweb Technologies India Limited specializes in high-performance computing, AI/ML solutions, and cloud services, providing bespoke hardware and software solutions tailored to customer needs. They are a significant player in the Indian market for supercomputing systems and offer a range of servers and storage solutions for enterprise and cloud environments.",High-Performance Computing | Cloud Infrastructure | AI/ML and Deep Learning,ok,0,gpt-4o
342,NEW AGE INSUTRUMENTS AND MATERIALS PRIVATE LIMITED,Equipment,Medium,Scientific instrumentation solutions | Customer-specific product recommendations,Research labs | Industry,"The company has a strong presence in India with offices in Gurugram and Navi Mumbai, and resident engineers in other prime locations.","New Age Instruments & Materials provides scientific instrumentation solutions, focusing on understanding customer needs to offer tailored products and services. They support both government-funded research labs and industrial clients across India.",Scientific instrumentation,ok,0,gpt-4o
343,NEXGEN POWER,Other,,,,,,,empty-input,0,gpt-4o
344,"NHK Spring Co., Ltd.",Other,Low,,,,"NHK Spring Co., Ltd. is primarily known as a leading manufacturer of springs, with some involvement in expanding production capacity for semiconductor process components. However, semiconductors do not appear to be a central focus of their business.",,ok,0,gpt-4o
345,Nicomac Taikisha Cleanrooms Pvt. Ltd,Facility & Infrastructure,Medium,Modular cleanroom systems | HVAC cleanrooms | Cleanroom validation services,Microelectronics | Semiconductors,"Nicomac Taikisha Clean Rooms Pvt. Ltd. is one of the most modern and efficient cleanroom manufacturers in Asia, with a presence in India.","Nicomac Taikisha Clean Rooms Pvt. Ltd. provides turnkey cleanroom solutions, including design, manufacturing, installation, and validation services, for the semiconductor and other high-tech industries. Their expertise in modular cleanroom systems and HVAC solutions supports semiconductor manufacturing facilities in maintaining controlled environments.",Cleanroom design and installation | HVAC systems for controlled environments,ok,0,gpt-4o
346,NIDEC ADVANCE TECHNOLOGY CORPORATION,Test & Measurement,High,Semiconductor Wafer Bump 2D/3D Inspection Systems | MEMS Spring Probe Manufacturing | Inspection Systems for Power Devices,Semiconductor Packaging | Power Devices,,Nidec Advance Technology Corporation specializes in delivering advanced electrical inspection systems for the semiconductor package industry. Their key products include the RWi series for 2D/3D inspection of semiconductor wafer bumps and solutions for inspecting power devices such as IGBT and SiC. They also offer MEMS spring probe manufacturing for probe card applications.,2D/3D High-Speed Scanning | MEMS Technology | Power Device Inspection,ok,0,gpt-4o
347,NIPPON EXPRESS (SOUTH ASIA & OCEANIA) PTE. LTD.,Distribution,Medium,Delivery and storage of wafers | End-to-end supply chain management | Cross-dock operations,Advanced Packaging | Automotive,"NX Group is set to participate in SEMICON India 2026 in New Delhi, indicating a strategic interest in the Indian semiconductor market.","Nippon Express (South Asia & Oceania) Pte. Ltd. provides comprehensive logistics solutions tailored to the semiconductor industry, including delivery and storage of wafers and semiconductor parts. Their global network and specialized handling capabilities make them a key player in optimizing semiconductor supply chains.",Supply chain optimization | Specialized logistics for semiconductor equipment,ok,0,gpt-4o
348,Nippon Fusso India Pvt. Ltd.,Chemicals & Gases,Medium,Fluorine resin coating | Fluorine processing,Advanced Packaging | Automotive,"Nippon Fusso India Pvt. Ltd. is the Indian subsidiary, indicating a strategic presence in the Indian market.","Nippon Fluorine Co., Ltd. specializes in fluorine resin coatings and processing, which are essential in semiconductor manufacturing for protective and insulating purposes. Their products are used in advanced packaging and automotive semiconductor applications.",Fluorine resin technology | Coating and lining processes,ok,0,gpt-4o
349,NIPPON SANSO INDIA PRIVATE LIMITED,Chemicals & Gases,Medium,Industrial gases for semiconductor manufacturing | Electronics gases,Logic | Memory | RF/5G,"Nippon Sanso India Pvt. Ltd. operates in Noida, Uttar Pradesh, indicating a strategic presence in the Indian market.","Nippon Sanso India Private Limited is part of the Nippon Sanso Holdings Group, a major supplier of industrial and electronics gases. They provide critical gases used in semiconductor manufacturing processes, supporting various segments such as logic and memory. Their operations span across multiple regions, including a significant presence in India.",Gas purification and delivery systems | Specialty gases for semiconductor processes,ok,0,gpt-4o
350,"NIPPON THOMPSON CO., LTD.",Other,Low,Needle Roller Bearings | Linear Motion Rolling Guides,Automotive | Industrial Machinery,,"Nippon Thompson Co., Ltd., under the IKO brand, specializes in the manufacturing of bearings and linear motion rolling guides. These components are crucial for various machines and equipment, including those used in semiconductor manufacturing. Their products are known for high quality and precision, supporting technological innovations across different industries.",Bearing Technology | Linear Motion Systems,ok,0,gpt-4o
351,NISSEI CORPORATION,Distribution,Low,,,"Nissei Corporation has established a representative office in Gurgaon, India, to assist with globalization and overseas procurement.","Nissei Corporation is a specialized trading company with a core business in chemical products, expanding into related products. It has established a global presence with offices in various Asian cities to support customers with globalization and procurement needs.",,ok,0,gpt-4o
352,Nitta Corporation India Pvt Ltd,Other,Low,,,"Nitta Corporation India Private Limited is a fully owned subsidiary of Nitta Corporation Japan, established at Pune in 2012, with fabrication facilities located at Pune and Coimbatore.","Nitta Corporation India Pvt Ltd primarily offers industrial products such as flat belts, belt joining tools, and wiper seals. Their products are used in various industries, but there is no specific mention of semiconductor-related applications.",,ok,0,gpt-4o
353,Nitto Denko India Pvt Ltd,Materials,High,Semiconductor Tapes for Backgrinding | Die Attach Film (DAF) | Lead Frame Taping,Advanced Packaging | Automotive,,"Nitto Denko India Pvt Ltd specializes in providing advanced semiconductor tapes and equipment solutions that enhance the precision and efficiency of semiconductor manufacturing processes. Their offerings include tapes for backgrinding, dicing, and die attach, as well as integrated equipment systems that optimize productivity and yield.",Ultra-thin wafer handling | Semiconductor tape technology,ok,0,gpt-4o
354,NITTO KOHKI India Pvt Ltd,Other,None,,,,,,ok,0,gpt-4o
355,NMTronics India Pvt. Limited,Other,Low -- the content does not provide specific information about semiconductor-related activities,,,"The company has multiple offices and representatives across India, indicating a strong local presence.","NMTronics India Pvt. Limited operates in sectors such as SMT, solar, and industrial automation, with a focus on skill development in India. The company's relevance to the semiconductor industry is not clearly defined in the provided content.",,ok,0,gpt-4o
356,NSW Automation Sdn Bhd,Equipment,High,"Precision fluid dispensing systems | Micro-dispensing solutions for solder paste | Dispensing handlers, pumps, and valves",Advanced Packaging | RF/5G | Automotive,Experience Our Next-Gen Dispensing Solution,"NSW Automation Sdn Bhd specializes in precision fluid dispensing systems crucial for microelectronics and semiconductor industries. Their solutions are designed for high-precision applications in advanced packaging, including 5G devices and automotive electronics. With a global presence, they provide dispensing handlers, pumps, and valves to meet demanding manufacturing requirements.",Precision fluid dispensing | Microelectronics packaging | Advanced dispensing technology,ok,0,gpt-4o
357,Numelo Technologies,Other,Low,,,,Numelo Technologies is a semiconductor start-up with limited publicly available information on its specific role or offerings in the semiconductor value chain.,,ok,0,gpt-4o
358,NYXSES INDIA PRIVATE LIMITED,Design Services,Medium,VLSI design | Embedded Systems | AI/ML integration with semiconductors,AI/ML | Embedded Systems,The company is committed to being an integral part of India's growth story in semiconductor design and AI-powered innovation.,"NYXSES INDIA PRIVATE LIMITED provides design services with a focus on integrating AI and ML with semiconductor technologies. They offer expertise in VLSI and embedded systems, supporting innovation and transformation in the semiconductor industry.",VLSI design | AI/ML integration | Embedded Systems,ok,0,gpt-4o
359,Ohara Optical (M) Sdn Bhd,Materials,High,Ultra-low expansion glass-ceramic for lithography | High-homogeneity i-Line optical glass for steppers | VAD-process synthetic fused silica for photomasks,Photolithography | Wafer handling | Metrology systems,"Ohara Optical (M) Sdn Bhd is actively participating in SEMICON India 2026, indicating a strategic interest in the Indian semiconductor market.","Ohara Optical (M) Sdn Bhd specializes in high-precision optical materials for the semiconductor industry, including ultra-low expansion glass-ceramics and high-homogeneity optical glass. Their products are critical for photolithography, wafer handling, and metrology systems, supporting advanced semiconductor manufacturing processes.",Ultra-low thermal expansion materials | High homogeneity optical glass | Vapor Phase Axial Deposition (VAD) for synthetic fused silica,ok,0,gpt-4o
360,OKAMOTO INDIA PRIVATE LIMITED,Equipment,High,wafer thinning | surface grinding | CMP,Power | Advanced Packaging | Automotive,"Okamoto India Private Limited is actively participating in SEMICON India 2025, indicating a strategic focus on the Indian semiconductor market.","Okamoto India Private Limited specializes in precision grinding technology, providing equipment for wafer thinning, surface grinding, and CMP processes. They focus on handling hard-to-process materials like SiC and GaN, supporting high-performance production in power semiconductors and advanced packaging applications.",precision grinding technology | handling of hard-to-process substrates | CMP processes,ok,0,gpt-4o
361,OKAYA & CO. INDIA PRIVATE LIMITED,Distribution,Medium,High-purity fluid handling components | ESD-control resin materials | High-purity wet electronic chemicals,Semiconductor manufacturing,"Okaya & Co. India Pvt Ltd engages in domestic trading, import/export, and installation/logistics support services in India for semiconductor-related products.","Okaya & Co. India Pvt Ltd acts as a distributor and service provider for semiconductor-related products in India, showcasing products from partner companies specializing in high-purity fluid handling, ESD-control materials, and wet electronic chemicals. The company facilitates the import and export of these specialized components and materials, supporting semiconductor manufacturing processes.",High-purity fluid handling | ESD-control resin technology | Wet electronic chemical processing,ok,0,gpt-4o
362,"Okins Electronics Co., Ltd",Other,,,,,,,empty-input,0,gpt-4o
363,Om Logistics Supply Chain Private Limited India,Other,,,,,,,empty-input,0,gpt-4o
364,OneSystems Technologies Pte. Ltd.,Facility & Infrastructure,Medium,Turnkey operational and information technology solutions for semiconductor plants | Integrated infrastructure solutions,Semiconductor,,"OneSystems Technologies Pte. Ltd. provides integrated infrastructure solutions tailored for semiconductor plants, offering end-to-end operational and IT solutions. Their services support mission-critical environments, ensuring efficient and resilient systems for semiconductor manufacturing facilities.",Integrated communication and control systems | Operational technology solutions,ok,0,gpt-4o
365,Onto Innovation,Test & Measurement,High,3D metrology | macro defect inspection | factory analytics,Advanced Packaging | Logic,,"Onto Innovation specializes in process control solutions across the semiconductor value chain, focusing on inspection, metrology, and lithography. Their technologies address critical yield, device performance, quality, and reliability challenges for semiconductor manufacturers.",3D metrology | macro defect inspection | lithography for advanced packaging,ok,0,gpt-4o
366,Onyx Robotic and Automation Pvt Ltd,Test & Measurement,Medium,Test & Measurement Equipment | Inspection Automation | Equipment Contract Manufacturing,"3C (Computers, Communications, Consumer Electronics)","Onyx Robotic and Automation Pvt Ltd has a significant presence in India with facilities in Pune, Saswad-Pune, Jejuri, and Chennai.","Onyx Robotic and Automation Pvt Ltd specializes in providing test and measurement equipment, inspection automation solutions, and contract manufacturing services primarily for the 3C industry. Their offerings include advanced tools for dimensional and functional checks, as well as vision and laser-based inspection solutions.",Dimensional inspection | Defect detection | Precision granite manufacturing,ok,0,gpt-4o
367,Oriental Motor (India) Private Limited India,Other,,,,,,,empty-input,0,gpt-4o
368,ORISSA COMPUTER APPLICATION CENTRE,Other,,,,,,,empty-input,0,gpt-4o
369,Oxford Instruments INDIA Pvt. Ltd.,Other,Low,,,,Oxford Instruments INDIA Pvt. Ltd. is a provider of high technology products and services primarily for research and industry. Their offerings are not specifically detailed for the semiconductor sector based on the available information.,,ok,0,gpt-4o
370,PADMINI INNOVATIVE MARKETING SOLUTIONS PVT.LTD,Distribution,Low,Engineering polymers | Metal to plastic conversion,Automotive | Consumer Electronics,"Padmini Innovative Marketing Solutions Pvt. Ltd is a leading polymer distributor in India, representing global polymer manufacturers.","Padmini Innovative Marketing Solutions Pvt. Ltd specializes in distributing engineering and super engineering polymers across various industries in India. They provide expertise in metal to plastic conversion, which can be relevant for semiconductor-related applications in consumer electronics and automotive sectors.",Polymer composition | Metal to plastic conversion,ok,0,gpt-4o
371,Panam Engineers Limited,Other,Low,Instrumentation tube fittings | Valve solutions,,,"Panam Engineers Limited specializes in manufacturing instrumentation tube fittings and valve solutions with a focus on precision and safety. While their products are critical for industrial applications, their direct involvement in the semiconductor value chain appears limited.",,ok,0,gpt-4o
372,Pandit Deendayal Energy University Gandhinagar,Other,None -- the content does not indicate any specific focus on semiconductors,,,,"Pandit Deendayal Energy University Gandhinagar is an educational institution focused on energy and petroleum studies, offering programs in engineering, science, liberal studies, and management. There is no specific mention of semiconductor-related activities or capabilities.",,ok,0,gpt-4o
373,Park Systems India Pvt Ltd,Test & Measurement,High,Atomic Force Microscopy for wafer inspection | 3D metrology | Defect analysis,Logic | Memory | Advanced Packaging,"Park Systems has a regional hub in India, indicating a strategic presence in the region.","Park Systems is a leader in Atomic Force Microscopy solutions, providing critical test and measurement capabilities for semiconductor manufacturing. Their AFM technology is essential for wafer inspection, 3D metrology, and defect analysis, serving top semiconductor firms globally.",Atomic Force Microscopy | Nanometrology | Ellipsometry,ok,0,gpt-4o
374,Parker Hannifin India Pvt Ltd,Other,,,,,,,empty-input,0,gpt-4o
375,PEMTRON Corporation,Test & Measurement,High,Wafer Inspection | Automatic Optical Inspection (AOI) | Solder Paste Inspection (SPI),Memory | Automotive | Advanced Packaging,,"PEMTRON Corporation specializes in precision inspection equipment for the semiconductor industry, offering products such as wafer inspection systems, 3D automated optical inspection, and solder paste inspection systems. Their technology is integral to ensuring quality and precision in semiconductor manufacturing processes.",3D precision measurement | AI deep learning for inspection,ok,0,gpt-4o
